id,place,city,state,latitude,longitude,category,best_time,budget_per_day,description,category_icon,estimated_entry_fee,estimated_local_travel
1,RK Beach,Visakhapatnam,Andhra Pradesh,17.6868,83.2305,Beach,Oct-Mar,1800,"RK Beach is a popular travel spot near Visakhapatnam, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
2,Kailasagiri,Visakhapatnam,Andhra Pradesh,17.6988,83.2185,Places to Visit,Nov-Feb,2200,"Kailasagiri is a popular travel spot near Visakhapatnam, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
3,Yarada Beach,Visakhapatnam,Andhra Pradesh,17.6868,83.2065,Beach,Oct-Apr,2500,"Yarada Beach is a popular travel spot near Visakhapatnam, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,300,450
4,Simhachalam Temple,Visakhapatnam,Andhra Pradesh,17.6748,83.2185,Temple,Sep-Feb,3000,"Simhachalam Temple is a popular travel spot near Visakhapatnam, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,360,540
5,Kanaka Durga Temple,Vijayawada,Andhra Pradesh,16.5062,80.66,Temple,Oct-Mar,1800,"Kanaka Durga Temple is a popular travel spot near Vijayawada, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
6,Prakasam Barrage,Vijayawada,Andhra Pradesh,16.5182,80.648,Famous Landmark,Nov-Feb,2200,"Prakasam Barrage is a popular travel spot near Vijayawada, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,264,396
7,Bhavani Island,Vijayawada,Andhra Pradesh,16.5062,80.636,Places to Visit,Oct-Apr,2500,"Bhavani Island is a popular travel spot near Vijayawada, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
8,Undavalli Caves,Vijayawada,Andhra Pradesh,16.4942,80.648,Adventure,Sep-Feb,3000,"Undavalli Caves is a popular travel spot near Vijayawada, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,360,540
9,Tirumala Temple,Tirupati,Andhra Pradesh,13.6288,79.4312,Temple,Oct-Mar,1800,"Tirumala Temple is a popular travel spot near Tirupati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
10,Sri Govindaraja Swamy Temple,Tirupati,Andhra Pradesh,13.6408,79.4192,Temple,Nov-Feb,2200,"Sri Govindaraja Swamy Temple is a popular travel spot near Tirupati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
11,Kapila Theertham,Tirupati,Andhra Pradesh,13.6288,79.4072,Places to Visit,Oct-Apr,2500,"Kapila Theertham is a popular travel spot near Tirupati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
12,Talakona Waterfalls,Tirupati,Andhra Pradesh,13.6168,79.4192,Lake/Waterfall,Sep-Feb,3000,"Talakona Waterfalls is a popular travel spot near Tirupati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
13,Godavari Riverfront,Rajahmundry,Andhra Pradesh,16.9891,81.796,Lake/Waterfall,Oct-Mar,1800,"Godavari Riverfront is a popular travel spot near Rajahmundry, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
14,Dowleswaram Barrage,Rajahmundry,Andhra Pradesh,17.0011,81.784,Places to Visit,Nov-Feb,2200,"Dowleswaram Barrage is a popular travel spot near Rajahmundry, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
15,Papi Hills,Rajahmundry,Andhra Pradesh,16.9891,81.772,Places to Visit,Oct-Apr,2500,"Papi Hills is a popular travel spot near Rajahmundry, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
16,ISKCON Rajahmundry,Rajahmundry,Andhra Pradesh,16.9771,81.784,Spiritual,Sep-Feb,3000,"ISKCON Rajahmundry is a popular travel spot near Rajahmundry, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,360,540
17,Araku Valley,Araku Valley,Andhra Pradesh,18.3273,82.8873,Hill Station,Oct-Mar,1800,"Araku Valley is a popular travel spot near Araku Valley, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,216,324
18,Borra Caves,Araku Valley,Andhra Pradesh,18.3393,82.8753,Adventure,Nov-Feb,2200,"Borra Caves is a popular travel spot near Araku Valley, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,264,396
19,Katiki Waterfalls,Araku Valley,Andhra Pradesh,18.3273,82.8633,Lake/Waterfall,Oct-Apr,2500,"Katiki Waterfalls is a popular travel spot near Araku Valley, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
20,Tribal Museum,Araku Valley,Andhra Pradesh,18.3153,82.8753,Historical/Heritage,Sep-Feb,3000,"Tribal Museum is a popular travel spot near Araku Valley, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
21,Amaravati Stupa,Amaravati,Andhra Pradesh,16.573,80.37,Spiritual,Oct-Mar,1800,"Amaravati Stupa is a popular travel spot near Amaravati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,216,324
22,Dhyana Buddha Statue,Amaravati,Andhra Pradesh,16.585,80.358,Spiritual,Nov-Feb,2200,"Dhyana Buddha Statue is a popular travel spot near Amaravati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,264,396
