place_id,city,state,food,type,avg_price,description,meal_type
1,Visakhapatnam,Andhra Pradesh,Andhra meals,Local Speciality,120,Try Andhra meals while exploring Visakhapatnam.,Lunch
2,Visakhapatnam,Andhra Pradesh,Pesarattu,Local Speciality,170,Try Pesarattu while exploring Visakhapatnam.,Breakfast
3,Visakhapatnam,Andhra Pradesh,Pulihora,Local Speciality,220,Try Pulihora while exploring Visakhapatnam.,Dinner
4,Visakhapatnam,Andhra Pradesh,Gongura rice,Local Speciality,270,Try Gongura rice while exploring Visakhapatnam.,Lunch
5,Vijayawada,Andhra Pradesh,Andhra meals,Local Speciality,320,Try Andhra meals while exploring Vijayawada.,Lunch
6,Vijayawada,Andhra Pradesh,Pesarattu,Local Speciality,120,Try Pesarattu while exploring Vijayawada.,Breakfast
7,Vijayawada,Andhra Pradesh,Pulihora,Local Speciality,170,Try Pulihora while exploring Vijayawada.,Dinner
8,Vijayawada,Andhra Pradesh,Gongura rice,Local Speciality,220,Try Gongura rice while exploring Vijayawada.,Lunch
9,Tirupati,Andhra Pradesh,Andhra meals,Local Speciality,270,Try Andhra meals while exploring Tirupati.,Lunch
10,Tirupati,Andhra Pradesh,Pesarattu,Local Speciality,320,Try Pesarattu while exploring Tirupati.,Breakfast
11,Tirupati,Andhra Pradesh,Pulihora,Local Speciality,120,Try Pulihora while exploring Tirupati.,Dinner
12,Tirupati,Andhra Pradesh,Gongura rice,Local Speciality,170,Try Gongura rice while exploring Tirupati.,Lunch
13,Rajahmundry,Andhra Pradesh,Andhra meals,Local Speciality,220,Try Andhra meals while exploring Rajahmundry.,Lunch
14,Rajahmundry,Andhra Pradesh,Pesarattu,Local Speciality,270,Try Pesarattu while exploring Rajahmundry.,Breakfast
15,Rajahmundry,Andhra Pradesh,Pulihora,Local Speciality,320,Try Pulihora while exploring Rajahmundry.,Dinner
16,Rajahmundry,Andhra Pradesh,Gongura rice,Local Speciality,120,Try Gongura rice while exploring Rajahmundry.,Lunch
17,Araku Valley,Andhra Pradesh,Andhra meals,Local Speciality,170,Try Andhra meals while exploring Araku Valley.,Lunch
18,Araku Valley,Andhra Pradesh,Pesarattu,Local Speciality,220,Try Pesarattu while exploring Araku Valley.,Breakfast
19,Araku Valley,Andhra Pradesh,Pulihora,Local Speciality,270,Try Pulihora while exploring Araku Valley.,Dinner
20,Araku Valley,Andhra Pradesh,Gongura rice,Local Speciality,320,Try Gongura rice while exploring Araku Valley.,Lunch
21,Amaravati,Andhra Pradesh,Andhra meals,Local Speciality,120,Try Andhra meals while exploring Amaravati.,Lunch
22,Amaravati,Andhra Pradesh,Pesarattu,Local Speciality,170,Try Pesarattu while exploring Amaravati.,Breakfast
23,Amaravati,Andhra Pradesh,Pulihora,Local Speciality,220,Try Pulihora while exploring Amaravati.,Dinner
24,Amaravati,Andhra Pradesh,Gongura rice,Local Speciality,270,Try Gongura rice while exploring Amaravati.,Lunch
25,Lepakshi,Andhra Pradesh,Andhra meals,Local Speciality,320,Try Andhra meals while exploring Lepakshi.,Lunch
26,Lepakshi,Andhra Pradesh,Pesarattu,Local Speciality,120,Try Pesarattu while exploring Lepakshi.,Breakfast
27,Lepakshi,Andhra Pradesh,Pulihora,Local Speciality,170,Try Pulihora while exploring Lepakshi.,Dinner
28,Lepakshi,Andhra Pradesh,Gongura rice,Local Speciality,220,Try Gongura rice while exploring Lepakshi.,Lunch
29,Kurnool,Andhra Pradesh,Andhra meals,Local Speciality,270,Try Andhra meals while exploring Kurnool.,Lunch
30,Kurnool,Andhra Pradesh,Pesarattu,Local Speciality,320,Try Pesarattu while exploring Kurnool.,Breakfast
31,Kurnool,Andhra Pradesh,Pulihora,Local Speciality,120,Try Pulihora while exploring Kurnool.,Dinner
32,Kurnool,Andhra Pradesh,Gongura rice,Local Speciality,170,Try Gongura rice while exploring Kurnool.,Lunch
33,Hyderabad,Telangana,Andhra meals,Local Speciality,220,Try Andhra meals while exploring Hyderabad.,Lunch
34,Hyderabad,Telangana,Pesarattu,Local Speciality,270,Try Pesarattu while exploring Hyderabad.,Breakfast
35,Hyderabad,Telangana,Pulihora,Local Speciality,320,Try Pulihora while exploring Hyderabad.,Dinner
36,Hyderabad,Telangana,Gongura rice,Local Speciality,120,Try Gongura rice while exploring Hyderabad.,Lunch
