place_id,city,state,hotel,price_per_night,rating,type,description
1,Visakhapatnam,Andhra Pradesh,Visakhapatnam Nature Nest,1500,4.1,Budget,Comfortable budget stay option for visitors to Visakhapatnam.
2,Visakhapatnam,Andhra Pradesh,Visakhapatnam Heritage Stay,1900,4.2,Mid-range,Comfortable mid-range stay option for visitors to Visakhapatnam.
3,Visakhapatnam,Andhra Pradesh,Visakhapatnam City Comfort,2300,4.3,Family,Comfortable family-friendly stay option for visitors to Visakhapatnam.
4,Visakhapatnam,Andhra Pradesh,Visakhapatnam Green Valley Inn,2700,4.4,Boutique,Comfortable boutique stay option for visitors to Visakhapatnam.
5,Vijayawada,Andhra Pradesh,Vijayawada Travelers Hub,3100,4.5,Budget,Comfortable budget stay option for visitors to Vijayawada.
6,Vijayawada,Andhra Pradesh,Vijayawada Nature Nest,3500,4.6,Mid-range,Comfortable mid-range stay option for visitors to Vijayawada.
7,Vijayawada,Andhra Pradesh,Vijayawada Heritage Stay,1500,4.7,Family,Comfortable family-friendly stay option for visitors to Vijayawada.
8,Vijayawada,Andhra Pradesh,Vijayawada City Comfort,1900,4.8,Boutique,Comfortable boutique stay option for visitors to Vijayawada.
9,Tirupati,Andhra Pradesh,Tirupati Green Valley Inn,2300,4.9,Budget,Comfortable budget stay option for visitors to Tirupati.
10,Tirupati,Andhra Pradesh,Tirupati Travelers Hub,2700,4.1,Mid-range,Comfortable mid-range stay option for visitors to Tirupati.
11,Tirupati,Andhra Pradesh,Tirupati Nature Nest,3100,4.2,Family,Comfortable family-friendly stay option for visitors to Tirupati.
12,Tirupati,Andhra Pradesh,Tirupati Heritage Stay,3500,4.3,Boutique,Comfortable boutique stay option for visitors to Tirupati.
13,Rajahmundry,Andhra Pradesh,Rajahmundry City Comfort,1500,4.4,Budget,Comfortable budget stay option for visitors to Rajahmundry.
14,Rajahmundry,Andhra Pradesh,Rajahmundry Green Valley Inn,1900,4.5,Mid-range,Comfortable mid-range stay option for visitors to Rajahmundry.
15,Rajahmundry,Andhra Pradesh,Rajahmundry Travelers Hub,2300,4.6,Family,Comfortable family-friendly stay option for visitors to Rajahmundry.
16,Rajahmundry,Andhra Pradesh,Rajahmundry Nature Nest,2700,4.7,Boutique,Comfortable boutique stay option for visitors to Rajahmundry.
17,Araku Valley,Andhra Pradesh,Araku Valley Heritage Stay,3100,4.8,Budget,Comfortable budget stay option for visitors to Araku Valley.
18,Araku Valley,Andhra Pradesh,Araku Valley City Comfort,3500,4.9,Mid-range,Comfortable mid-range stay option for visitors to Araku Valley.
19,Araku Valley,Andhra Pradesh,Araku Valley Green Valley Inn,1500,4.1,Family,Comfortable family-friendly stay option for visitors to Araku Valley.
20,Araku Valley,Andhra Pradesh,Araku Valley Travelers Hub,1900,4.2,Boutique,Comfortable boutique stay option for visitors to Araku Valley.
21,Amaravati,Andhra Pradesh,Amaravati Nature Nest,2300,4.3,Budget,Comfortable budget stay option for visitors to Amaravati.
22,Amaravati,Andhra Pradesh,Amaravati Heritage Stay,2700,4.4,Mid-range,Comfortable mid-range stay option for visitors to Amaravati.
23,Amaravati,Andhra Pradesh,Amaravati City Comfort,3100,4.5,Family,Comfortable family-friendly stay option for visitors to Amaravati.
24,Amaravati,Andhra Pradesh,Amaravati Green Valley Inn,3500,4.6,Boutique,Comfortable boutique stay option for visitors to Amaravati.
25,Lepakshi,Andhra Pradesh,Lepakshi Travelers Hub,1500,4.7,Budget,Comfortable budget stay option for visitors to Lepakshi.
26,Lepakshi,Andhra Pradesh,Lepakshi Nature Nest,1900,4.8,Mid-range,Comfortable mid-range stay option for visitors to Lepakshi.
27,Lepakshi,Andhra Pradesh,Lepakshi Heritage Stay,2300,4.9,Family,Comfortable family-friendly stay option for visitors to Lepakshi.
28,Lepakshi,Andhra Pradesh,Lepakshi City Comfort,2700,4.1,Boutique,Comfortable boutique stay option for visitors to Lepakshi.
29,Kurnool,Andhra Pradesh,Kurnool Green Valley Inn,3100,4.2,Budget,Comfortable budget stay option for visitors to Kurnool.
30,Kurnool,Andhra Pradesh,Kurnool Travelers Hub,3500,4.3,Mid-range,Comfortable mid-range stay option for visitors to Kurnool.
31,Kurnool,Andhra Pradesh,Kurnool Nature Nest,1500,4.4,Family,Comfortable family-friendly stay option for visitors to Kurnool.
32,Kurnool,Andhra Pradesh,Kurnool Heritage Stay,1900,4.5,Boutique,Comfortable boutique stay option for visitors to Kurnool.
33,Hyderabad,Telangana,Hyderabad City Comfort,2300,4.6,Budget,Comfortable budget stay option for visitors to Hyderabad.
34,Hyderabad,Telangana,Hyderabad Green Valley Inn,2700,4.7,Mid-range,Comfortable mid-range stay option for visitors to Hyderabad.
35,Hyderabad,Telangana,Hyderabad Travelers Hub,3100,4.8,Family,Comfortable family-friendly stay option for visitors to Hyderabad.
36,Hyderabad,Telangana,Hyderabad Nature Nest,3500,4.9,Boutique,Comfortable boutique stay option for visitors to Hyderabad.
37,Warangal,Telangana,Warangal Heritage Stay,1500,4.1,Budget,Comfortable budget stay option for visitors to Warangal.
38,Warangal,Telangana,Warangal City Comfort,1900,4.2,Mid-range,Comfortable mid-range stay option for visitors to Warangal.
39,Warangal,Telangana,Warangal Green Valley Inn,2300,4.3,Family,Comfortable family-friendly stay option for visitors to Warangal.
40,Warangal,Telangana,Warangal Travelers Hub,2700,4.4,Boutique,Comfortable boutique stay option for visitors to Warangal.
41,Nizamabad,Telangana,Nizamabad Nature Nest,3100,4.5,Budget,Comfortable budget stay option for visitors to Nizamabad.
42,Nizamabad,Telangana,Nizamabad Heritage Stay,3500,4.6,Mid-range,Comfortable mid-range stay option for visitors to Nizamabad.
43,Nizamabad,Telangana,Nizamabad City Comfort,1500,4.7,Family,Comfortable family-friendly stay option for visitors to Nizamabad.
